id,Name,Date,Amount,
85,ING BANK COVID19 ENHANCED SME AND MIDCAP SUPPORT,08/12/2020,60372554.00,
86,ING BANK COVID19 ENHANCED SME AND MIDCAP SUPPORT,08/12/2020,98715500.00,
87,ING BANK COVID19 ENHANCED SME AND MIDCAP SUPPORT,08/12/2020,10968389.00,
88,ING BANK COVID19 ENHANCED SME AND MIDCAP SUPPORT,08/12/2020,109683889.00,
89,DEUTSCHE LEASING COVID19 ACTION FOR SME,07/12/2020,38836316.00,
90,MERIDIAM GREEN IMPACT GROWTH FUND (GIGF),07/12/2020,2500000.00,
91,SLSP ABS COVID19 RESPONSE FOR SME & MIDCAPS,07/12/2020,48314030.00,
92,DE LAGE LANDEN L4SMES & MIDCAPS CLIMATE PL&DE II,07/12/2020,100000000.00,
93,MERIDIAM GREEN IMPACT GROWTH FUND (GIGF),07/12/2020,2500000.00,
94,ACP MICROFINANCE FACILITY,07/12/2020,6881102.00,
95,DE LAGE LANDEN L4SMES & MIDCAPS CLIMATE PL&DE II,07/12/2020,100000000.00,
96,WEST AFRICA MICROFINANCE FACILITY,04/12/2020,3000000.00,
97,DEMANT - ADVANCED TECHNOLOGY HEARING AIDS RDI,04/12/2020,72165419.00,
98,BIOVET PESHTERA,04/12/2020,25000000.00,
99,DEMANT - ADVANCED TECHNOLOGY HEARING AIDS RDI,04/12/2020,11025272.00,
100,EIB-CDC PLATFORM - CLEAN BUSES,04/12/2020,100000000.00,
101,BC - COVID-19 LOAN FOR SMES AND MIDCAPS,04/12/2020,30000000.00,
102,DEMANT - ADVANCED TECHNOLOGY HEARING AIDS RDI,04/12/2020,7016082.00,
103,SMALL-SCALE SOLAR PROGRAM IN SSA,04/12/2020,10000000.00,
104,ACP MICROFINANCE FACILITY,04/12/2020,9842915.00,
105,DEMANT - ADVANCED TECHNOLOGY HEARING AIDS RDI,04/12/2020,10022975.00,
106,EMSCHER RENATURIERUNG III,04/12/2020,500000000.00,
107,KAEPPALA WASTEWATER TREATMENT,03/12/2020,97063819.00,
108,SMAT WATER NETWORK INVESTMENTS,03/12/2020,50000000.00,
109,IDNOW (EGFF),03/12/2020,7500000.00,
110,PFR COVID-19 SUPPORT TO SMES IN POLAND,03/12/2020,111774305.00,
111,IDNOW (EGFF),03/12/2020,7500000.00,
112,WOLFSBURG SOCIAL AND AFFORDABLE HOUSING,03/12/2020,70000000.00,
113,INTERACT CLIMATE CHANGE FACILITY III,03/12/2020,50000000.00,
114,BIELSKO BIALA URBAN INFRASTRUCTURE,02/12/2020,24205614.00,
115,BIELSKO BIALA URBAN INFRASTRUCTURE,02/12/2020,20454190.00,
116,CSOB LEASING CZ COVID19 RESPONSE FOR SME&MIDCAPS,02/12/2020,130000000.00,
117,GEWOBA WOHNUNGSBAU BREMEN,02/12/2020,170000000.00,
118,PPC DISTRIBUTION VIII,02/12/2020,100000000.00,
119,DSB NEW TRAINS,02/12/2020,150000000.00,
120,KOELN ABWASSER UND UMWELT II,02/12/2020,150000000.00,
121,UHURU GROWTH FUND I,01/12/2020,7520053.00,
122,UHURU GROWTH FUND I,01/12/2020,7520053.00,
123,UHURU GROWTH FUND I,01/12/2020,10026738.00,
124,SIPCAM OXON AGRI-PRODUCTS DEVELOPMENT R&D,01/12/2020,35000000.00,
125,AENA ENERGY EFFICIENCY INVESTMENT PLAN SFSB,30/11/2020,10633800.00,
126,AENA SECURITY INVESTMENT PLAN,30/11/2020,110000000.00,
127,COVID-19 RESPONSE HUNGARY PUBLIC SECTOR,30/11/2020,162500000.00,
128,RADOM SUSTAINABLE DEVELOPMENT & COVID-19,30/11/2020,24126594.00,
129,RADOM SUSTAINABLE DEVELOPMENT & COVID-19,30/11/2020,7186312.00,
130,ELDERLY AFFORDABLE ASSISTED LIVING FRANCE,30/11/2020,17600000.00,
131,NOVOZYMES BIOTECHNOLOGY RDI,30/11/2020,100000000.00,
132,CYPRUS GAS IMPORT FACILITY (CYPRUSGAS2EU),30/11/2020,150000000.00,
133,WIND TECHNOLOGY RDI,30/11/2020,150000000.00,
134,AENA ENERGY EFFICIENCY INVESTMENT PLAN SFSB,30/11/2020,3736200.00,
135,BIALYSTOK MUNICIPAL INFRASTRUCTURE IV,30/11/2020,67099083.00,
136,ARTIFICIAL INTELLIGENCE EIB-EIF CO-INVESTMENT,30/11/2020,50000000.00,
137,ELDERLY AFFORDABLE ASSISTED LIVING FRANCE,30/11/2020,37400000.00,
138,MENTAL HEALTHCARE INFRASTRUCTURE IN BELGIUM,30/11/2020,50000000.00,
139,PORTOVIEJO WATER AND SANITATION,30/11/2020,49987479.00,
140,ZKW AUTOMOTIVE LIGHTING RDI,27/11/2020,52950000.00,
141,COLLECTIVITES FRANCE VS COVID 19 GRENOBLE,27/11/2020,100000000.00,
142,AB SCIENCE (COVID-19) (IDFF),27/11/2020,15000000.00,
143,PBZ LOAN FOR SMES MIDCAPS AND OTHER PRIORITIES,27/11/2020,20000000.00,
144,RIPOSTE SANITAIRE COVID-19 BENIN,27/11/2020,30000000.00,
145,CLUJ TECHNICAL UNIVERSITY,27/11/2020,16800000.00,
146,CLUJ TECHNICAL UNIVERSITY,27/11/2020,4200000.00,
147,ZKW AUTOMOTIVE LIGHTING RDI,27/11/2020,97050000.00,
148,MANNHEIM SOCIAL AND AFFORDABLE HOUSING,27/11/2020,150000000.00,
149,ASSAINISSEMENT ET DRAINAGE DE OUAGADOUGOU,27/11/2020,15000000.00,
150,TERGOOI HILVERSUM HOSPITAL DEVELOPMENT,26/11/2020,70000000.00,
151,SGEL PL LOAN FOR SMES AND MIDCAPS,26/11/2020,100000000.00,
152,JORDAN WATER SECTOR FRAMEWORK LOAN,26/11/2020,257989916.00,
153,ANIMAL NUTRITION CAPACITY EXPANSION,25/11/2020,15000000.00,
154,BOURGOGNE-FRANCHE-COMTE MATERIEL ROULANT,25/11/2020,98000000.00,
155,AUTOMOTIVE GLASS MANUFACTURING MOROCCO,25/11/2020,54000000.00,
156,GREECE ROAD REHABILITATION & SAFETY PROJECT,25/11/2020,235000000.00,
157,GREECE COVID-19 RESPONSE FOR SMES & MIDCAPS,24/11/2020,150000000.00,
158,BNL COVID19 LOAN FOR SMES & MIDCAPS,24/11/2020,150000000.00,
159,PROCREDIT EU SMES MIDCAPS & CA MBIL II,24/11/2020,20000000.00,
160,PROCREDIT EU SMES MIDCAPS & CA MBIL II,24/11/2020,20000000.00,
161,MOZAMBIQUE CLIMATE RESILIENT FL,23/11/2020,100000000.00,
162,EIFFEL ENERGY TRANSITION COVID-19 TOP-UP,23/11/2020,15000000.00,
163,EIFFEL ENERGY TRANSITION COVID-19 TOP-UP,23/11/2020,15000000.00,
164,SUSTAINABLE SECURITIES FUND,20/11/2020,10500000.00,
165,AVE MADRID EXTREMADURA,20/11/2020,300000000.00,
166,MALOPOLSKA REGIONAL INFRASTRUCTURE II,20/11/2020,13067932.00,
167,HYPO VORARLBERG COVID-19 ENHANCED SUPPORT FOR EE,20/11/2020,56100000.00,
168,ST LUCIA DEVELOPMENT BANK MSMES COVID-19,20/11/2020,5000000.00,
169,SUSTAINABLE SECURITIES FUND,20/11/2020,4500000.00,
170,SUSTAINABLE SECURITIES FUND,20/11/2020,10500000.00,
171,SUSTAINABLE SECURITIES FUND,20/11/2020,4500000.00,
172,MALOPOLSKA REGIONAL INFRASTRUCTURE II,20/11/2020,8009377.00,
173,POZNAN MUNICIPAL INVESTMENTS & COVID-19 RESPONSE,19/11/2020,10734893.00,
174,POZNAN MUNICIPAL INVESTMENTS & COVID-19 RESPONSE,19/11/2020,1341862.00,
175,CEPS TRANSMISSION GRID III,19/11/2020,189695728.00,
176,GOTHENBURG CLEAN URBAN TRANSPORT,19/11/2020,64186508.00,
177,VRIJE UNIVERSITEIT AMSTERDAM PHASE 2,19/11/2020,17500000.00,
178,POZNAN MUNICIPAL INVESTMENTS & COVID-19 RESPONSE,19/11/2020,122109406.00,
179,HBOR LOAN FOR SMES II,19/11/2020,142500000.00,
180,ENGIE SOLUTIONS DHC NETWORKS,18/11/2020,212500000.00,
181,REGIONE LAZIO EU BLENDING PROGRAMME,17/11/2020,1500000.00,
182,RLBNW RENEWABLE ENERGY MBIL,17/11/2020,50000000.00,
183,REGIONE LAZIO EU BLENDING PROGRAMME,17/11/2020,28500000.00,
184,CONNECTED SCHOOLS IN SERBIA,16/11/2020,65000000.00,
185,EXIMBANK HU COVID-19 RESPONSE FOR SMES & MIDCAPS,12/11/2020,200000000.00,
186,ENEDIS ADVANCED METERING,12/11/2020,400000000.00,
187,PALESTINE PRIVATE SECTOR COVID-19 RESPONSE,11/11/2020,42495326.00,
188,WARSAW SUSTAINABLE DEVELOPMENT,10/11/2020,222271616.00,
189,VIVAWEST ENERGY EFFICIENT QUARTER,10/11/2020,80000000.00,
190,FMB METRO ROLLING STOCK,10/11/2020,40000000.00,
191,ZNA - ZIEKENHUISNETWERK ANTWERPEN,10/11/2020,100000000.00,
192,CZESTOCHOWA URBAN INFRASTRUCTURE III,10/11/2020,13069571.00,
193,ILIAD 5G NETWORK DEPLOYMENT FRANCE,10/11/2020,300000000.00,
194,CZESTOCHOWA URBAN INFRASTRUCTURE III,10/11/2020,5601245.00,
195,BANCA DEL MEZZOGIORNO COVID19 L4SMES & MIDCAPS,09/11/2020,50000000.00,
196,ATI MEMBERSHIP CONTRIBUTION CHAD,04/11/2020,15000000.00,
197,GMP ENERGY EFFICIENT BUILDINGS,04/11/2020,28000000.00,
198,CLUJ-SALAJ REGIONAL WATER,03/11/2020,27000000.00,
199,ATI MEMBERSHIP CONTRIBUTION SENEGAL,03/11/2020,15000000.00,
200,EPTA GROUP MACHINERY AND RDI,02/11/2020,20000000.00,
201,IFD COVID19 LOAN FOR SMES & MIDCAPS,02/11/2020,340000000.00,
202,CHWAPI TOURNAI HOSPITAL (BELGIUM),30/10/2020,145000000.00,
203,BPCE COVID19 RESPONSE LOAN FOR SMES AND MIDCAPS,30/10/2020,150000000.00,
204,BIZAY (EGFF),30/10/2020,10000000.00,
205,KINEXON (EGFF),30/10/2020,7500000.00,
206,KINEXON (EGFF),30/10/2020,7500000.00,
207,TILT CAPITAL FUND I,30/10/2020,20000000.00,
208,BIZAY (EGFF),30/10/2020,10000000.00,
209,TILT CAPITAL FUND I,30/10/2020,20000000.00,
210,RFI HIGH SPEED RAIL NAPOLI-BARI,28/10/2020,800000000.00,
211,SOCIAL AND AFFORDABLE HOUSING STUTTGART,28/10/2020,200000000.00,
212,CREDIT AGRICOLE COVID19 LOAN FOR SME&MIDCAP MBIL,27/10/2020,25000000.00,
213,CREDIT AGRICOLE COVID19 LOAN FOR SME&MIDCAP MBIL,27/10/2020,50000000.00,
214,CASA - SOUTIEN ZONES MEDICALES EN TENSION,27/10/2020,150000000.00,
215,CREDIT AGRICOLE COVID19 LOAN FOR SME&MIDCAP MBIL,27/10/2020,200000000.00,
216,CREDIT AGRICOLE COVID19 LOAN FOR SME&MIDCAP MBIL,27/10/2020,125000000.00,
217,UCD CAMPUS DEVELOPMENT,26/10/2020,350000000.00,
218,VENETO WATER UTILITIES ABS,26/10/2020,124000000.00,
219,CDC LOGEMENT SOCIAL MBIL,26/10/2020,500000000.00,
220,CDC SECTEUR PUBLIC MBIL,26/10/2020,500000000.00,
221,UKRAINE MUNICIPAL INFRASTRUCTURE PROGRAMME,23/10/2020,2555200.00,
222,UKRAINE MUNICIPAL INFRASTRUCTURE PROGRAMME,23/10/2020,638.8,
223,UKRAINE MUNICIPAL INFRASTRUCTURE PROGRAMME,23/10/2020,638.8,
224,UKRAINE MUNICIPAL INFRASTRUCTURE PROGRAMME,23/10/2020,2555200.00,
225,IREN GREEN ENERGY LOAN,23/10/2020,100000000.00,
226,SGEF HU COVID19 RESPONSE FOR SMES AND MIDCAPS,22/10/2020,25000000.00,
227,APPUI AU SECTEUR DE L EAU POTABLE,21/10/2020,14000000.00,
228,APPUI AU SECTEUR DE L EAU POTABLE,21/10/2020,24000000.00,
229,KRAKOW TRAMWAY III,21/10/2020,35198951.00,
230,EBS COVID19 CRISIS RESPONSE FOR SMES&MIDCAPS,21/10/2020,30000000.00,
231,BASQUE COUNTRY LOAN FOR SMES AND MIDCAPS,21/10/2020,50000000.00,
232,ULMA RDI & CONVERGENCE,20/10/2020,20000000.00,
233,IMM-X (IDFF),19/10/2020,24500000.00,
234,MINORYX (EGFF),16/10/2020,12500000.00,
235,ATI MEMBERSHIP CONTRIBUTION BURKINA FASO,16/10/2020,15000000.00,
236,ATRIVA (IDFF),16/10/2020,24000000.00,
237,PIAGGIO RDI VEHICLE IMPROVEMENTS,16/10/2020,30000000.00,
238,PROSOL AGROFOOD AND RDI INVESTMENTS,16/10/2020,20000000.00,
239,MINORYX (EGFF),16/10/2020,12500000.00,
240,WIELKOPOLSKIE ONSHORE WIND,15/10/2020,19667164.00,
241,SOUTH-MORAVIA REGIONAL ROLLING STOCK,15/10/2020,93818581.00,
242,EIB LIQUIDITY LINE TO THE MS FOR CASH ADVANCE,15/10/2020,7500000000.00,
243,ONCOPEPTIDES (EGFF),14/10/2020,20000000.00,
244,GREECE COVID-19 RESPONSE FOR SMES & MIDCAPS,14/10/2020,150000000.00,
245,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,14/10/2020,346105.00,
246,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,14/10/2020,69221.00,
247,ZERO-E SOLAR PV,14/10/2020,45678454.00,
248,ONCOPEPTIDES (EGFF),14/10/2020,20000000.00,
249,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,14/10/2020,477625.00,
250,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,14/10/2020,4430147.00,
251,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,14/10/2020,1599006.00,
252,SOLARIA PV PLANTS,13/10/2020,25000000.00,
253,PSA ESP COVID19 LOAN FOR SMES & MIDCAPS,13/10/2020,37500000.00,
254,PSA ESP COVID19 LOAN FOR SMES & MIDCAPS,13/10/2020,189900000.00,
255,ATI MEMBERSHIP CONTRIBUTION BENIN,13/10/2020,15000000.00,
,HIRSCHMANN AUTO TECH SOLUTIONS,13/10/2020,65000000.00,
,PSA ESP COVID19 LOAN FOR SMES & MIDCAPS,13/10/2020,22600000.00,
,HPB LOAN FOR SMES MIDCAPS AND OTHER PRIORITIES,12/10/2020,10000000.00,
,DBSA CLIMATE ACTION FACILITY,12/10/2020,22000000.00,
,UCB RO COVID19 RESPONSE FOR SMES AND MIDCAPS,09/10/2020,50000000.00,
,KRAKOW INTELLIGENT AND SUSTAINABLE DEVELOPMENT,08/10/2020,8536449.00,
,KRAKOW INTELLIGENT AND SUSTAINABLE DEVELOPMENT,08/10/2020,20899583.00,
,KRAKOW INTELLIGENT AND SUSTAINABLE DEVELOPMENT,08/10/2020,15164017.00,
,NAVARRA COVID-19 RESPONSE,07/10/2020,50000000.00,
,JIRAMA WATER III - PRIORITAIRE,07/10/2020,26159800.00,
,NEW SLUSSEN STOCKHOLM,07/10/2020,381570161.00,
,REGIONE LAZIO EU BLENDING PROGRAMME,06/10/2020,1500000.00,
,REGIONE LAZIO EU BLENDING PROGRAMME,06/10/2020,28500000.00,
,WIENER WOHNEN REVITALISIERUNG,06/10/2020,75000000.00,
,UKRAINE PUBLIC BUILDINGS ENERGY EFFICIENCY,06/10/2020,300000000.00,
,UKRPOSHTA MODERNISATION AND DIGITALISATION,06/10/2020,30000000.00,
,GETINGE MEDICAL TECHNOLOGY RDI,02/10/2020,2400000.00,
,LYCEES GUADELOUPE,02/10/2020,90000000.00,
,LV WATSAN - KISUMU,02/10/2020,35000000.00,
,GETINGE MEDICAL TECHNOLOGY RDI,02/10/2020,14400000.00,
,GETINGE MEDICAL TECHNOLOGY RDI,02/10/2020,1800000.00,
,GETINGE MEDICAL TECHNOLOGY RDI,02/10/2020,11400000.00,
,NILAR BATTERY ENERGY STORAGE (EDP),01/10/2020,47000000.00,
,S6 EXPRESSWAY BOZEPOLE - TRICITY BYPASS,01/10/2020,150000000.00,
,HBOR COVID-19 RESPONSE FOR SMES & MIDCAPS,01/10/2020,100000000.00,
,PLYSA FOREST FIRE EXTINCTION FLEET,01/10/2020,20000000.00,
,APERAM ADVANCED STAINLESS STEEL MANUFACTURING,30/09/2020,69857143.00,
,ISP ENHANCED COVID19 SME AND MIDCAP SUPPORT,30/09/2020,89609794.00,
,APERAM ADVANCED STAINLESS STEEL MANUFACTURING,30/09/2020,5142857.00,
,BDEAC IMPULSION ECONOMIQUE & SECTEUR SOCIAL,30/09/2020,50000000.00,
,CENTRAL BOHEMIA REGIONAL INFRASTRUCTURE,30/09/2020,14082180.00,
,BIEDRONKA ENERGY & ENVIRONMENTAL SUSTAINABILITY,30/09/2020,158374027.00,
,CENTRAL BOHEMIA REGIONAL INFRASTRUCTURE,30/09/2020,33654023.00,
,LORAX CAPITAL PARTNERS FUND II,30/09/2020,18790571.00,
,MVM DISTRIBUTION NETWORK UPGRADE,29/09/2020,120000000.00,
,ACCIONA ENERGY WATER AND CONSTRUCTION INNOVATION,28/09/2020,4000000.00,
,ACCIONA ENERGY WATER AND CONSTRUCTION INNOVATION,28/09/2020,24000000.00,
,PCC ROKITA CHEMICAL UPGRADE PROGRAMME,28/09/2020,22500000.00,
,ACCIONA ENERGY WATER AND CONSTRUCTION INNOVATION,28/09/2020,12000000.00,
,COMMERZBANK COVID-19 ABS FOR SMES & MIDCAPS,25/09/2020,124687500.00,
,REGIONE LAZIO EU BLENDING PROGRAMME,24/09/2020,2000000.00,
,SANTANDER COVID19 ABS SUPPORT TO SMES & MIDCAPS,24/09/2020,143000000.00,
,DIGITAL INNOVATION POSTAL AND LOGISTIC SERVICES,24/09/2020,32000000.00,
,SANTANDER INNOVATION & DIGITALISATION OF SMES,24/09/2020,50000000.00,
,REGIONE LAZIO EU BLENDING PROGRAMME,24/09/2020,38000000.00,
,MAGAZINO ROBOTICS (EGFF),23/09/2020,6000000.00,
,MAGAZINO ROBOTICS (EGFF),23/09/2020,6000000.00,
,AFFORDABLE HOUSING RLBNW,23/09/2020,30000000.00,
,SMART METERING DEPLOYMENT,23/09/2020,110000000.00,
,BGK MBIL VI,16/09/2020,100000000.00,
,WIELKOPOLSKIE ONSHORE WIND,15/09/2020,1090844.00,
,WIELKOPOLSKIE ONSHORE WIND,15/09/2020,16418884.00,
,WIELKOPOLSKIE ONSHORE WIND,15/09/2020,3711118.00,
,EIB-EIF BRIDGE FACILITY (INNOVFIN SMEG FACILITY),15/09/2020,7000000000.00,
,CAM-SMES & MID-CAPS AGRI AND RURAL DEVELOPMENT,14/09/2020,200000000.00,
,PARDUBICE REGIONAL INFRASTRUCTURE IV,14/09/2020,41110278.00,
,PARDUBICE REGIONAL INFRASTRUCTURE IV,14/09/2020,33908477.00,
,EFL COVID19 CRISIS RESPONSE FOR SME&MIDCAPS PL,11/09/2020,100000000.00,
,CIE AUTOMOTIVE RDI & CONVERGENCE,11/09/2020,40000000.00,
,IDF COVID-19 RESPONSE FOR SMES AND MID-CAPS,11/09/2020,50000000.00,
,FOF MULTIREGIONAL SARDINIA - INTESA SAN PAOLO,11/09/2020,33340000.00,
,SOFTWARE AG DIGITAL INNOVATION,10/09/2020,106600000.00,
,SOFTWARE AG DIGITAL INNOVATION,10/09/2020,23400000.00,
,BP ALTO ADIGE ABS COVID19 FOR SMES AND MIDCAPS,09/09/2020,69580123.00,
,POST DISASTER RECONSTRUCT & PREVENTION VALENCIA,08/09/2020,5499900.00,
,FCA PLUG-IN HYBRID ELECTRIC VEHICLES - COVID-19,08/09/2020,485000000.00,
,POST DISASTER RECONSTRUCT & PREVENTION VALENCIA,08/09/2020,5000100.00,
,POST DISASTER RECONSTRUCT & PREVENTION VALENCIA,08/09/2020,1500200.00,
,POST DISASTER RECONSTRUCT & PREVENTION VALENCIA,08/09/2020,37999800.00,
,MICROFLUIDIC TECHNOLOGY R&D (IDFF),07/09/2020,10000000.00,
,SG AFRIQUE CENTRALE FACILITE DE FINANCEMENT,07/09/2020,15000000.00,
,GREAT NORTH ROAD (T2) UPGRADE,04/09/2020,72450000.00,
,EU FUNDS CO-FINANCING 2014-2020 (PL),03/09/2020,97500000.00,
,EU FUNDS CO-FINANCING 2014-2020 (PL),03/09/2020,325000000.00,
,EU FUNDS CO-FINANCING 2014-2020 (PL),03/09/2020,45500000.00,
,NBE LOAN FOR SMES AND MIDCAPS COVID-19,03/09/2020,800000000.00,
,EU FUNDS CO-FINANCING 2014-2020 (PL),03/09/2020,182000000.00,
,FOF MULTIREGIONAL SARDINIA - BANCO DI SARDEGNA,01/09/2020,66660000.00,
,KANPUR METRO PROJECT,31/08/2020,200000000.00,
,SG AFRIQUE CENTRALE FACILITE DE FINANCEMENT,31/08/2020,15000000.00,
,SG AFRIQUE CENTRALE FACILITE DE FINANCEMENT,31/08/2020,10000000.00,
,SZCZECIN AFFORDABLE HOUSING INVESTMENT PLAN,28/08/2020,5976640.00,
